Date,Open,High,Low,Close,Adj Close,Volume
2015-08-07,1.825791,2.286404,1.628420,1.789042,1.789042,106052
2015-08-08,1.803007,1.806267,0.461262,0.486173,0.486173,435100
2015-08-09,0.455719,0.567802,0.406061,0.453275,0.453275,343668
2015-08-10,0.461084,0.468065,0.410807,0.454629,0.454629,260080
2015-08-11,0.454397,0.726474,0.425533,0.685360,0.685360,939028
2015-08-12,0.679514,0.826249,0.568127,0.780060,0.780060,1377984
2015-08-13,0.783136,1.258611,0.750410,1.170908,1.170908,2606624
2015-08-14,1.160177,1.445475,1.121748,1.168491,1.168491,2964284
2015-08-15,1.152522,1.200051,1.004270,1.079652,1.079652,1632909
2015-08-16,1.076744,1.083705,0.696676,1.000978,1.000978,2269600
2015-08-17,1.010668,1.010603,0.760662,0.772535,0.772535,1247002
2015-08-18,0.780038,0.850093,0.694113,0.694113,0.694113,948649
2015-08-19,0.745118,0.840930,0.745071,0.802844,0.802844,947857
2015-08-20,0.797946,0.977434,0.798982,0.934022,0.934022,1813159
2015-08-21,0.942056,0.992298,0.861711,0.889003,0.889003,1287652
2015-08-22,0.889640,0.940688,0.861854,0.878770,0.878770,604211
2015-08-23,0.876075,0.898184,0.826868,0.863172,0.863172,1014231
2015-08-24,0.858705,0.869675,0.781461,0.781461,0.781461,587027
2015-08-25,0.779773,0.785664,0.717104,0.726467,0.726467,832863
2015-08-26,0.721752,0.776746,0.675894,0.749486,0.749486,682787
2015-08-27,0.755838,0.771617,0.738884,0.744824,0.744824,445623
2015-08-28,0.744798,0.784585,0.726795,0.774076,0.774076,469022
2015-08-29,0.775473,0.784361,0.746859,0.768339,0.768339,243893
2015-08-30,0.768624,0.888825,0.760581,0.855946,0.855946,867871
2015-08-31,0.857315,0.905356,0.778411,0.884271,0.884271,942174
2015-09-01,0.881172,0.909040,0.868336,0.883463,0.883463,509093
2015-09-02,0.883437,0.885331,0.826171,0.846157,0.846157,577551
2015-09-03,0.846419,0.855588,0.794848,0.829136,0.829136,460796
2015-09-04,0.829136,0.854840,0.812301,0.840086,0.840086,312716
2015-09-05,0.844140,0.884839,0.837963,0.882538,0.882538,295618
2015-09-06,0.882011,0.905498,0.853108,0.852913,0.852913,323812
2015-09-07,0.852959,0.859830,0.810005,0.816405,0.816405,320244
2015-09-08,0.816405,0.833851,0.799357,0.807087,0.807087,277960
2015-09-09,0.805086,0.820678,0.782652,0.785795,0.785795,238861
2015-09-10,0.786512,0.795397,0.734896,0.755130,0.755130,429318
2015-09-11,0.754612,0.757366,0.609798,0.637139,0.637139,1259139
